delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2024-08-05,6475,797,146,191,180,575,228,880,2024,8,0,1,0,32,summer,9472,0.68359375,0.7677364864864865,0.05458192567567568,0.024070945945945946,5154.0,5297.0,1210.0,668.0,8622.0,7885.0,8467.25,772.0951474181574,0.011730883431143294,False
2024-08-10,4842,671,131,146,143,472,197,743,2024,8,5,0,1,32,summer,7345,0.6592239618788291,0.7505786249149081,0.05718175629680054,0.026820966643975493,6475.0,5154.0,797.0,1210.0,9472.0,8622.0,8363.0,702.039113345308,0.018155156825760226,False
2024-08-12,3901,688,82,148,134,433,156,639,2024,8,0,1,0,33,summer,6181,0.6311276492476946,0.7424364989483903,0.05889014722536806,0.025238634525157743,4842.0,6475.0,671.0,797.0,7345.0,9472.0,8331.0,714.3897162380392,0.023916997291522184,False
2024-08-17,4686,907,112,149,133,456,204,769,2024,8,5,0,1,33,summer,7416,0.6318770226537217,0.7541801510248112,0.053128371089536136,0.02750809061488673,3901.0,4842.0,688.0,671.0,6181.0,7345.0,7905.0,1064.1913988251047,0.022647353095061974,False
2024-08-19,4772,694,103,157,154,459,189,692,2024,8,0,1,0,34,summer,7220,0.6609418282548476,0.7570637119113574,0.05734072022160665,0.026177285318559555,4686.0,3901.0,907.0,688.0,7416.0,6181.0,7603.5,1080.8456565732838,0.010449249129762726,False
2024-08-24,5487,639,140,181,176,565,210,818,2024,8,5,0,1,34,summer,8216,0.6678432327166505,0.7456183057448881,0.06049172346640701,0.025559883154819864,4772.0,4686.0,694.0,907.0,7220.0,7416.0,7040.5,437.50990464978725,0.0175946489248096,False
2024-08-26,5909,436,146,119,111,448,202,857,2024,8,0,1,0,35,summer,8228,0.7181575109382596,0.771147301895965,0.045697617890131256,0.024550315994166263,5487.0,4772.0,639.0,694.0,8216.0,7220.0,7258.25,648.7477681400268,0.02790210483326848,False
2024-08-31,4707,589,141,139,125,476,209,753,2024,8,5,0,1,35,summer,7139,0.6593360414623897,0.7418405939207172,0.056730634542653036,0.029275808936825885,5909.0,5487.0,436.0,639.0,8228.0,8216.0,7770.0,586.4301606613803,0.012732087274366212,False
2024-09-02,3888,451,115,127,124,394,191,559,2024,9,0,1,0,36,fall,5849,0.6647290135065823,0.741836211318174,0.06257479911095915,0.03265515472730381,4707.0,5909.0,589.0,436.0,7139.0,8228.0,7700.75,580.1944358000449,0.08755331893362245,True
2024-09-07,4567,789,116,138,135,444,202,761,2024,9,5,0,1,36,fall,7152,0.6385626398210291,0.7488814317673378,0.05439038031319911,0.028243847874720358,3888.0,4707.0,451.0,589.0,5849.0,7139.0,7358.0,891.7815035085663,0.033229392564675025,False
